id,target
0,7.9957776
2,7.8355536
6,7.937879
7,8.201845
10,8.270838
14,8.16184
16,8.209204
17,7.7255917
18,7.7427983
19,7.736253
21,7.6231556
28,7.886059
29,7.853667
30,7.540051
31,7.8390617
34,8.209783
35,8.052059
36,7.994578
38,7.8264933
40,7.8841004
41,8.200206
42,7.9160395
43,8.376192
44,8.357159
46,7.709011
47,7.7054615
48,7.70674
50,8.303846
53,7.8040013
54,8.3048935
61,7.826016
63,8.021156
65,7.8058786
67,8.12166
74,8.014011
79,7.791426
81,7.8469014
84,7.881653
87,7.8727913
88,7.7426867
89,7.889696
90,7.7203746
93,8.079534
94,7.848194
96,8.231936
97,7.9225407
101,7.81096
105,7.694065
106,7.7094193
110,7.741107
111,7.8012843
112,7.79757
115,7.8391623
116,7.7332783
117,7.940448
125,7.6584415
127,7.8395085
128,7.9750185
129,7.877625
132,7.824766
133,7.5085516
134,7.553001
136,8.523389
138,7.8553743
141,7.8161325
142,7.755326
143,7.8391676
144,7.895545
147,7.6660657
148,7.787656
155,7.7323627
157,8.051424
163,7.92899
164,7.8842597
166,8.053667
168,7.933044
172,7.6209598
174,7.923355
176,8.427385
179,7.663482
180,7.9527254
188,7.9755526
199,7.7198853
201,8.012871
203,7.9813204
206,7.9579597
209,8.214149
211,7.8804445
214,7.6928596
217,7.806386
222,7.999943
223,7.920855
230,7.733021
231,7.6365333
234,7.781665
236,7.443841
238,7.5750785
246,8.125683
247,7.5529175
248,8.065813
249,7.885176
250,7.4235034
252,8.031182
253,7.685402
254,7.739393
255,7.915409
256,8.139452
257,8.002813
258,7.877351
260,8.1255245
264,7.564249
268,7.713342
269,8.037669
270,8.159126
271,8.443744
272,8.225809
274,7.709155
277,7.665813
279,7.6875143
283,7.913781
284,7.7898693
285,8.080856
288,7.9918413
289,8.196735
291,8.089504
294,8.0138855
295,7.7199893
296,8.27829
297,7.790875
299,7.808378
301,7.901174
303,8.2555065
305,7.9033732
306,7.8805027
308,7.87196
311,8.127102
312,8.031923
313,7.788852
315,7.9153337
319,7.454314
320,7.9838543
323,7.975597
324,8.26583
326,8.06271
328,7.830133
329,8.068153
333,8.019141
334,7.9678826
335,7.757331
336,8.017744
337,7.893242
338,7.86363
339,7.9466996
340,8.11945
341,8.051786
342,7.821812
344,7.8581414
346,7.936568
347,8.024477
350,7.941355
351,7.842719
352,7.891421
356,7.7147017
360,7.7556443
365,8.139008
371,7.910783
377,7.8024564
384,7.865078
387,7.529801
388,7.556487
391,7.685118
392,7.909003
398,7.9692173
399,8.085736
403,8.375237
404,7.9742446
407,8.061661
409,7.9316826
410,7.890296
411,8.255224
413,7.7745686
414,7.947859
417,7.5453863
418,8.1267805
420,7.8840284
423,7.9229574
424,7.9621544
426,8.119894
431,8.348755
432,7.952937
433,7.896217
434,7.9012885
436,8.027174
438,8.481062
440,8.192645
444,8.0091915
445,7.9737115
446,7.839337
447,7.934006
448,7.7627707
449,7.771452
450,8.183342
453,7.994085
454,7.825882
456,8.174885
457,8.078426
458,7.6088567
464,7.6722345
465,7.8837843
467,7.8841715
470,7.763076
471,7.5174804
474,7.759135
478,7.7114744
480,7.7994175
484,8.089827
485,8.090366
487,8.371952
488,8.095679
489,8.062575
491,7.7452545
495,7.8625927
499,8.204411
500,7.8197417
501,7.9199853
502,7.9680586
503,7.740235
506,8.371464
512,8.203325
516,8.172901
518,7.7507277
519,8.064518
521,7.6065555
524,7.785967
527,7.822186
528,7.8467016
531,7.6477118
532,7.699369
533,7.8713984
534,7.8970366
535,7.931801
537,8.0393915
538,8.039949
544,7.835517
548,8.072936
549,8.162241
550,8.390682
554,7.7316356
555,7.760005
556,8.238216
558,7.86351
560,7.633669
561,7.752653
564,8.309524
566,7.749729
571,7.479638
572,7.6978717
573,7.8774986
574,8.138243
575,8.017343
576,7.80529
578,7.4790397
579,7.7731986
582,8.122458
587,8.140734
588,8.006357
592,7.9226713
593,8.025451
606,8.498135
608,8.004341
610,7.7026124
611,7.8364305
612,8.17224
613,7.574986
614,8.065181
615,8.061298
617,7.837246
618,8.0062685
620,7.8166804
623,8.011292
624,7.830717
626,7.5659733
628,7.9433985
632,8.18561
639,7.9262986
645,7.9239583
648,7.7933345
649,7.670774
650,7.7898793
656,7.8553004
657,7.791985
660,7.9791827
663,7.932056
664,7.7540865
665,8.032712
671,8.114311
673,7.9727564
674,7.873533
677,8.129093
681,7.9156575
683,7.9583406
685,7.859937
687,7.902562
688,7.906678
691,8.3232
692,7.911409
695,7.9509706
700,7.8737717
703,7.881929
705,8.32948
709,7.8920145
712,7.9354696
713,7.696417
715,7.9293966
717,8.381222
720,8.051018
721,7.6913147
722,7.8860974
729,8.10631
730,7.7119117
732,8.197096
733,8.425131
736,8.542673
738,7.865377
741,7.8190894
743,7.883525
745,7.8191195
746,7.6482253
748,8.354435
749,7.763672
753,7.8846536
759,8.037977
762,7.866907
764,8.079483
768,7.866577
769,7.761711
770,7.749293
773,7.8591943
